,Vmag,Plx,ePlx,BV,eBV,dist,Vabs
5944.0,6.59,42.3,0.75,0.594,0.006,23.6406619385,4.72170183688
5947.0,6.27,13.84,0.52,0.44,0.004,72.2543352601,1.9756804506
5957.0,10.1,44.03,1.59,1.353,0.013,22.7117874177,8.3187434273
5977.0,7.03,16.53,0.82,0.415,0.006,60.4960677556,3.12136426786
5985.0,6.52,33.68,0.77,0.563,0.005,29.6912114014,4.15686041414
6005.0,11.31,60.61,2.38,1.51,0.014,16.4989275697,10.2227214201
6022.0,7.88,20.42,0.97,0.556,0.015,48.971596474,4.43027868875
6130.0,8.0,36.16,1.0,0.78,0.015,27.6548672566,5.79114210902
6161.0,7.87,13.64,0.62,0.556,0.015,73.3137829912,3.5440718516
6177.0,8.69,31.1,1.37,0.876,0.004,32.154340836,6.15380194513
6206.0,7.65,25.59,0.94,0.622,0.003,39.0777647519,4.69035142944
6221.0,7.07,18.84,0.62,0.508,0.006,53.0785562633,3.44540449228
6237.0,6.65,20.54,0.92,0.405,0.009,48.6854917235,3.21300219631
6271.0,7.0,20.28,0.82,0.545,0.01,49.3096646943,3.53533975331
6276.0,8.43,28.52,1.17,0.791,0.002,35.0631136045,5.7057476059
6285.0,7.21,30.08,0.92,0.586,0.006,33.2446808511,4.6013891596
6312.0,6.33,13.67,0.62,0.113,0.004,73.1528895391,2.00884257284
6339.0,8.46,34.78,1.26,0.916,0.009,28.7521564117,6.16664788833
6351.0,10.15,59.29,1.59,1.383,0.018,16.8662506325,9.01490725172
6369.0,6.94,12.26,0.56,0.224,0.004,81.5660685155,2.38245235091
6378.0,6.37,13.04,0.54,0.283,0.003,76.6871165644,1.94638795698
6379.0,7.17,59.46,0.59,0.826,0.006,16.818028927,6.04112452434
6390.0,8.76,32.13,1.2,0.97,0.005,31.1235605353,6.29455362776
6405.0,6.96,39.07,0.8,0.627,0.006,25.5950857435,4.91921705612
6411.0,4.87,16.68,0.7,1.077,0.0,59.9520383693,0.980980231509
6414.0,10.3,37.1,1.75,1.295,0.021,26.9541778976,8.14686954808
6439.0,7.16,19.52,0.79,0.473,0.009,51.2295081967,3.61239906665
6442.0,7.47,18.97,0.92,0.681,0.013,52.7148128624,3.86033665444
6454.0,7.3,22.13,0.99,0.829,0.01,45.1875282422,4.02490706964
6455.0,7.92,27.0,1.05,0.656,0.005,37.037037037,5.07681882079
6456.0,7.85,33.09,0.99,0.9,0.0,30.2206104563,5.4484838358
6483.0,9.88,24.89,1.09,1.003,0.004,40.1767778224,6.86012448304
6485.0,8.53,20.29,0.93,0.705,0.015,49.2853622474,5.06641023517
6486.0,6.36,17.34,0.71,0.457,0.003,57.6701268743,2.5552454657
6494.0,8.37,20.73,0.7,0.656,0.012,48.2392667631,4.95299651047
6511.0,7.7,17.75,0.84,0.553,0.009,56.338028169,3.94599178696
6512.0,6.28,16.98,0.8,0.829,0.001,58.8928150766,2.42968842954
6514.0,5.6,15.43,0.73,0.276,0.006,64.8088139987,1.54182963032
6527.0,6.59,20.42,0.78,0.403,0.007,48.971596474,3.14027868875
6537.0,3.6,28.48,0.77,1.065,0.004,35.1123595506,0.872699924824
6551.0,6.85,20.01,0.87,0.569,0.006,49.9750124938,3.35623544318
6564.0,5.92,22.33,0.95,0.407,0.004,44.7828034035,2.66444361536
6575.0,8.39,31.77,1.05,0.784,0.018,31.4762354422,5.90008607414
6607.0,8.29,24.75,1.22,0.684,0.011,40.404040404,5.25787601635
6613.0,8.49,30.24,1.1,0.912,0.021,33.0687830688,5.89290893415
6639.0,9.48,27.52,1.3,1.026,0.013,36.3372093023,6.67824214782
6643.0,7.12,22.65,0.82,0.577,0.011,44.1501103753,3.89534103174
6653.0,7.38,25.35,0.97,0.675,0.013,39.4477317554,4.39988981835
6679.0,6.99,19.55,0.85,0.441,0.015,51.1508951407,3.44573380866
6686.0,2.66,32.81,0.62,0.16,0.002,30.4785126486,0.24003115193
6692.0,4.72,16.89,0.56,1.047,0.009,59.2066311427,0.858148247855
6693.0,7.86,25.95,1.28,0.75,0.015,38.5356454721,4.93068681092
6702.0,6.34,26.14,0.79,0.5,0.004,38.2555470543,3.42652791622
6706.0,5.35,38.35,0.78,0.395,0.004,26.075619296,3.26882684142
6711.0,5.98,24.21,0.74,0.52,0.004,41.3052457662,2.89997394721
6733.0,6.9,16.13,0.79,0.387,0.009,61.9962802232,2.93817183694
6744.0,8.41,24.51,0.99,0.725,0.011,40.7996736026,5.35671655626
6748.0,5.51,27.55,0.74,0.321,0.005,36.2976406534,2.71060801594
6752.0,7.52,18.57,0.89,0.549,0.015,53.8502961766,3.8640595187
6762.0,7.96,33.59,0.99,0.738,0.01,29.7707651087,5.59105001921
6776.0,6.27,23.45,0.75,0.453,0.007,42.6439232409,3.12071423526
6794.0,6.42,17.91,0.75,0.311,0.007,55.8347292016,2.68547792925
6795.0,9.14,24.14,1.07,0.86,0.015,41.4250207125,6.05368632881
